date,Casey Affleck,Mahershala Ali,Jeff Bridges,Viola Davis,Andrew Garfield,Ryan Gosling,Naomie Harris,Isabelle Huppert,Nicole Kidman,Jimmy Kimmel,Viggo Mortensen,Ruth Negga,Dev Patel,Natalie Portman,Michael Shannon,Octavia Spencer,Emma Stone,Meryl Streep,Denzel Washington,Michelle Williams
00:34,76,129,0,167,146,0,0,59,107,59,91,61,238,0,0,51,394,48,0,77
00:39,84,97,0,537,113,0,0,0,126,192,121,52,181,0,0,51,1005,42,0,50
00:44,0,80,0,706,119,0,0,0,223,104,55,57,202,0,0,63,794,48,0,0
00:49,50,70,0,908,115,59,0,54,162,179,40,51,163,0,0,73,910,0,0,0
00:54,0,88,0,667,137,343,0,0,148,144,0,69,221,0,0,0,681,41,0,0
00:58,284,95,0,399,80,735,0,0,144,72,0,64,167,0,0,0,517,85,0,0
01:03,112,50,0,308,89,460,0,0,151,44,0,60,196,0,0,0,465,107,0,39
01:08,74,0,0,302,91,289,41,0,182,46,0,0,154,0,0,0,398,93,0,0
01:13,48,54,0,276,87,229,0,0,110,41,0,51,131,0,0,0,322,163,120,0
01:18,44,51,0,260,96,232,70,0,75,0,0,56,101,0,0,48,296,236,186,0
01:23,47,47,0,274,92,204,79,0,61,0,0,0,111,0,0,0,262,241,190,64
01:27,41,44,0,256,85,168,0,0,0,54,0,47,98,0,0,0,444,262,141,0
01:32,47,37,0,227,64,167,0,42,49,42,0,0,88,0,0,0,356,176,95,0
01:37,44,0,0,109,51,151,0,43,68,199,0,0,77,0,50,0,132,94,90,0
01:42,53,0,0,116,46,87,0,40,0,930,0,0,76,0,0,0,166,61,88,0
01:47,47,81,0,109,67,72,0,54,0,965,71,0,91,0,0,0,102,1571,129,0
01:51,0,2650,140,64,0,37,0,0,0,494,0,0,435,0,66,0,74,659,91,0
01:56,42,3184,47,107,47,0,0,0,0,356,0,0,190,0,0,0,94,384,49,0
02:01,0,1558,39,76,0,0,0,0,0,297,0,0,53,0,0,0,83,203,63,0
02:06,0,720,0,106,44,0,0,0,0,146,0,0,53,0,0,0,53,179,53,0
02:11,0,653,0,110,56,0,0,0,0,209,0,0,44,0,0,80,68,280,45,0
02:15,0,487,0,52,0,0,0,0,45,200,0,0,49,0,0,72,57,171,0,0
02:20,0,371,0,49,0,61,0,0,0,125,0,0,0,0,0,0,69,118,0,0
02:25,0,399,0,89,0,87,0,0,0,181,0,0,0,0,0,0,90,205,59,0
02:30,0,281,0,83,51,56,0,0,0,241,0,0,62,0,0,0,75,163,66,0
02:35,0,379,0,112,63,56,0,0,0,125,0,0,57,0,0,0,42,125,62,0
02:39,0,379,0,228,0,81,0,0,0,146,0,0,0,0,0,0,84,148,61,0
02:44,0,278,0,1874,0,71,97,0,92,99,0,0,0,0,0,148,82,91,50,90
02:49,0,172,0,6137,0,0,0,0,36,48,0,0,0,0,0,0,55,78,97,50
02:54,0,213,0,4195,0,0,0,0,0,65,0,0,0,0,0,0,89,117,153,0
02:59,0,198,0,2744,0,48,0,0,92,131,0,0,0,0,0,0,61,90,118,0
03:03,0,205,0,1491,0,44,0,0,181,76,0,0,224,0,0,0,43,83,41,0
03:08,0,221,0,1319,0,45,0,0,240,86,0,0,59,0,0,0,52,108,59,0
03:13,0,159,0,807,0,59,0,0,144,84,0,0,47,0,0,0,46,62,0,0
03:18,0,109,0,550,0,0,0,0,81,82,0,0,0,0,0,0,62,41,0,0
03:23,0,159,0,382,0,286,0,0,100,317,0,0,0,0,0,0,57,141,254,0
03:28,0,192,0,425,56,312,0,0,130,428,0,0,86,0,0,0,105,214,530,0
03:32,0,193,0,496,54,203,0,0,65,362,0,0,97,0,0,0,97,132,263,0
03:37,0,121,0,391,73,121,0,0,80,198,0,0,72,0,0,0,80,59,130,0
03:42,0,108,0,334,66,76,0,0,0,309,0,0,58,0,0,0,57,62,84,0
03:47,0,143,0,373,54,110,0,0,0,335,0,0,74,0,0,0,57,91,82,0
03:52,0,130,0,359,64,84,0,0,0,450,0,0,57,0,0,0,0,91,65,0
03:56,0,161,0,349,100,87,0,0,48,755,0,0,69,0,0,0,79,163,53,0
04:01,0,147,0,299,62,82,0,0,63,447,0,0,54,0,0,0,70,616,44,0
04:06,47,107,0,294,0,361,0,0,47,363,0,0,0,0,0,0,333,174,49,0
04:11,53,115,0,269,0,496,0,0,0,291,0,0,48,0,0,0,466,136,49,0
04:16,53,115,0,26,0,496,0,0,0,359,0,0,48,100,0,0,466,136,49,0
04:20,0,110,0,278,0,234,0,0,48,184,0,0,94,45,0,0,208,119,52,0
04:25,0,81,0,173,0,132,0,0,0,165,0,0,65,0,0,0,95,57,0,0
04:30,0,80,0,172,0,132,0,0,0,261,0,0,54,0,0,0,74,85,0,0
04:35,96,78,0,145,0,86,0,0,0,471,0,0,0,0,0,0,73,51,0,0
04:40,158,84,0,136,0,85,0,0,0,552,0,0,0,75,0,55,153,72,0,0
04:44,55,94,0,152,0,99,0,0,42,281,0,0,0,0,0,71,156,0,43,0
04:49,332,71,0,144,154,234,0,0,0,272,0,0,41,0,0,44,141,41,208,0
04:54,2696,48,0,109,206,405,0,0,0,122,181,0,0,0,0,0,180,40,843,0
04:59,1899,44,0,120,67,208,0,145,0,118,49,101,0,148,0,0,2182,181,707,0
05:04,940,40,0,127,109,308,0,174,0,96,0,61,0,86,0,0,3750,207,496,0
05:08,807,44,0,161,90,356,0,101,0,117,0,45,0,0,0,0,2242,136,659,0
05:13,274,33,0,56,0,100,0,0,0,57,0,0,0,0,0,0,513,30,183,0
05:18,75,0,0,41,0,33,0,0,0,89,0,0,0,0,0,0,161,0,62,0
05:23,123,0,0,48,0,45,0,0,0,131,0,0,0,0,0,0,275,0,55,0
05:28,111,44,0,52,0,55,0,0,0,108,0,0,0,0,0,0,271,0,60,0
05:33,170,51,0,78,0,83,0,0,0,140,0,0,0,0,0,0,316,0,88,0
05:38,189,63,0,81,0,70,0,0,0,140,0,0,0,0,0,0,338,0,97,0
05:42,192,66,0,76,0,84,0,0,0,178,0,0,0,0,0,0,434,0,73,0
05:48,190,48,0,86,0,95,0,0,0,146,0,0,0,0,0,0,453,0,102,0
05:52,176,54,0,107,0,171,0,0,0,135,0,0,0,0,0,0,574,0,89,0
05:57,205,64,0,118,0,149,0,0,0,138,0,0,0,0,0,0,694,0,96,0